titulo,autor,anio,estante_numero,estante_seccion,piso,edificio,sede
Cargo,Kevin Witcherley,1996,33,Sales,32,JO,Al Kittah
Going Overboard,Cordelie Claxton,2009,68,Engineering,41,ID,Kotabaru
Jackass: The Movie,Colleen Martensen,1990,68,Sales,89,EC,Cayambe
"Adventures of Sharkboy and Lavagirl 3-D, The",Evonne Vandenhoff,1963,99,Research and Development,78,BG,Isperikh
Gallipoli,Montgomery Clemensen,1997,50,Product Management,81,CA,Waterloo
Pinky,Othelia Kulis,2000,19,Engineering,87,SO,Marka
"Indian Runner, The",Leigh Shave,2008,42,Marketing,39,KH,Stung Treng
My Brother the Terrorist,Brnaba Codron,2006,95,Services,61,AZ,Mardakyany
"Nosferatu (Nosferatu, eine Symphonie des Grauens)",Abran Mogie,2008,74,Research and Development,5,EG,Al Fayyūm
All In This Tea,Bev Slopier,2009,82,Product Management,34,TH,Ban Na San
"Jazz Singer, The",Tabby Ravenshaw,2009,22,Human Resources,46,JP,Shinshiro
"Yank in the R.A.F., A",Farra Jodrelle,1996,41,Engineering,100,NZ,Taipa
Bustin' Loose,Idaline Avrahamof,2006,43,Sales,38,VN,Minh Lương
Along the Ridge (Anche libero va bene),Norean Ingham,2000,61,Marketing,1,PT,Tarouca
White Men Can't Jump,Bryon Dimeloe,2010,96,Research and Development,54,BR,Vacaria
Southern Comfort,Arney Besque,2006,7,Accounting,87,KG,Sulyukta
Die Hard,Terri-jo Hartright,2000,45,Services,26,CN,Xishaping
"Source Family, The",Chuck Meryett,1993,41,Accounting,87,DK,København
Vivre sa vie: Film en douze tableaux (My Life to Live),Mohammed Collihole,2012,38,Sales,32,PT,Casal do Relvas
Blackbird,Garvy Broomfield,2012,12,Marketing,16,SI,Kisovec
Cheri,Vivia Jessel,2012,37,Support,49,ID,Bugis
Bells of Innocence,Tarah Ashtonhurst,2003,55,Training,20,PH,Dolo
Colourful (Karafuru),Roscoe Simak,1999,55,Sales,51,ID,Sumberpinang Satu
Fun is Beautiful,Haley Thursfield,2002,92,Human Resources,78,CZ,Javorník
Disclosure,Oona Ortler,2007,60,Training,57,CN,Shuidong
"End of the Affair, The",Elden Leidecker,1992,81,Training,71,CZ,Leština
Naked Violence,Waly Swanson,2007,67,Sales,88,AZ,Bilajari
Red Dragon,Justis Backe,2003,80,Training,90,BY,Veyno
Topkapi,Arni Crookes,2006,27,Business Development,95,ID,Cibatuireng
Future Weather,Jillayne Byre,1997,66,Services,25,XK,Klokot
Raanjhanaa,Rory Grinter,2000,40,Business Development,69,FR,Saint-Maurice-l'Exil
"Cheat, The",Ellswerth Raoult,1993,73,Engineering,34,NI,San Rafael del Sur
I Stand Alone (Seul contre tous),Eldredge Standbrook,2011,27,Legal,5,ID,Sukamaju
Pennies from Heaven,Franciskus Saphir,1998,34,Sales,14,UA,Sheshory
"Final Option, The (Who Dares Wins)",Lian Levane,1995,35,Training,8,SE,Åkersberga
Wallace & Gromit: The Wrong Trousers,Mirella Shaddick,2005,82,Legal,6,CN,Lincheng
Love Before Breakfast,Lu Longworthy,2000,91,Research and Development,22,BG,Chernomorets
Murder by Numbers,Aristotle Fonso,1995,82,Human Resources,30,UA,Marshintsy
To Cross the Rubicon,Cleon Tellenbroker,2006,70,Engineering,86,ZA,Ballitoville
Inventing the Abbotts,Ayn Beazer,2006,85,Sales,52,FM,Nukuoro
The Indifferent Beauty,Zulema Guilliatt,2002,22,Services,57,CN,Peixing
Japanese Summer: Double Suicide (Muri shinjû: Nihon no natsu),Hort Lichfield,2011,40,Sales,50,CN,Fenjie
"Moment of Truth, The (Il momento della verità)",Nikolia Caldow,1992,3,Business Development,79,RU,Georgiyevsk
Gold Diggers of 1937,Jarad Persian,1981,84,Engineering,89,ID,Bilo
Thank You a Lot,Humfrid Eouzan,2004,23,Product Management,65,ID,Ciseuseupan
Almanya - Welcome to Germany (Almanya - Willkommen in Deutschland),Stillmann Stanyland,2000,88,Accounting,49,PL,Dzwola
Keep the Lights On,Brier Kovalski,2006,56,Accounting,96,ID,Bagangan
Showtime,Sonnie Ehrat,2007,39,Engineering,35,EE,Narva
I Dream Too Much,Rich Scarisbrick,1986,1,Legal,32,ID,Majingklak
Tune in Tomorrow...,Delcina Sandry,2011,93,Legal,65,CN,Xiyang
Alatriste,Mac Van der Mark,2007,68,Engineering,14,BR,Salto
Firelight,Julie Staner,1994,25,Support,16,PH,Apalit
Machete,Tomasine Iacovaccio,2011,85,Research and Development,50,CN,Chishui
Flight of Fury,Alisun Quye,1992,67,Sales,91,UA,Slatyne
House of Dracula,Scot Bourley,2004,62,Product Management,30,SE,Kalmar
"Brady Bunch Movie, The",Cassandra Hallsworth,2004,74,Support,90,US,Orlando
Loaded,Joane Margram,2002,66,Accounting,34,DE,Köln
Tommy Boy,Demetre MacGow,1966,96,Services,15,TD,Goundi
Age of Uprising: The Legend of Michael Kohlhaas (Michael Kohlhaas),Karil Perell,1995,29,Sales,59,PL,Olesno
Action Jackson,Augustina Hendriks,1999,96,Research and Development,96,UG,Dokolo
Super Fly (Superfly),Micky Chatwood,2001,99,Engineering,96,US,Denver
Party Monster,Gerty Pruvost,1984,61,Marketing,82,CU,Santiago de Cuba
Odette Toulemonde,Delcina Henrion,1999,70,Legal,74,MX,Las Palmas
"Grudge 3, The",Almeda Bridgestock,2005,37,Marketing,15,PE,Pampa Hermosa
Katze im Sack,Neil Malkin,2008,12,Services,33,CO,Pueblo Nuevo
"Brass Teapot, The",Zsa zsa Hagart,1997,35,Marketing,38,CN,Wuxiang
Fire-Eater (Tulennielijä),Herold Syred,2005,74,Business Development,23,IE,Kill
Paper Clips,Van Dymott,2004,96,Marketing,7,ID,Makale
Tribute,Magdaia Cota,2012,68,Services,63,US,Lancaster
Plain Dirty (a.k.a. Briar Patch),Laureen Corney,1996,91,Training,72,ID,Oesao
Porky's II: The Next Day,Easter Wagg,2006,61,Engineering,77,RU,Vyborg
"Making of a Legend: Gone with the Wind, The",Vilma Holdron,2004,90,Sales,2,CN,Jiaoxiyakou
Sunset Strip,Willdon Randles,2001,81,Support,88,US,Tallahassee
Des roses en hiver,Karel Schubart,2010,12,Marketing,9,CN,Liutangting
Don McKay,Kathy Haestier,1991,20,Training,57,GB,Kingston
"Dinosaur Project, The",Ignazio Lecount,2000,89,Engineering,66,AR,Puerta de Corral Quemado
Sol ,Nancie Baggelley,2004,16,Marketing,69,SA,Al Jarādīyah
Charlie Chan in Paris,Blinni Bocock,2005,97,Services,97,PL,Poniatowa
"Bells of St. Mary's, The",Joelie Gabits,1995,76,Legal,65,SY,Al Mālikīyah
"Bachelor Party, The",Nicolis Hiscocks,2009,58,Sales,60,AF,Lashkar Gāh
"Witches, The (aka Devil's Own, The)",Jannelle Pole,2006,62,Human Resources,26,NI,Matagalpa
It's Alive,Teodora Ferreri,2005,47,Human Resources,32,CZ,Líně
"Place Promised in Our Early Days, The (Kumo no mukô, yakusoku no basho)",Ingemar Thomke,2009,35,Support,68,TH,Dong Charoen
"World According to Monsanto, The (monde selon Monsanto, Le)",Tabb Exall,2001,74,Support,15,MM,Pyay
"Adventures of Sebastian Cole, The",Karoly Bortolini,2002,58,Support,53,CN,Wuying
Happy Here and Now,Ximenes Alleburton,2012,33,Accounting,31,PS,Bayt Līd
"Bachelor and the Bobby-Soxer, The",Munmro Bundock,2007,99,Marketing,4,CN,Zhouji
I Was A Communist for the FBI,Wylie Ormesher,2006,6,Sales,74,MV,Muli
Looking for Maria Sanchez,Kerrill Brobeck,2006,82,Accounting,10,TH,Wichit
Cartouche,Holly-anne Crallan,2001,49,Legal,77,CZ,Toužim
"Civil War, The",Elton Neaverson,2009,22,Research and Development,42,MN,Maanĭt
Precious Find,Hans Meeland,1989,49,Support,66,CN,Hecheng
Boy A,Courtney Liebmann,1983,49,Services,77,RU,Bratsk
Grumpy Old Men,Gillie Scrowton,2001,87,Engineering,65,PH,San Vicente
Desire Under the Elms,Lil McAughtrie,2009,47,Legal,78,CN,Huiwen
"Wild Parrots of Telegraph Hill, The",Harmonia Dirr,1990,29,Marketing,59,PE,Challhuahuacho
Simple Men,Stevie Bellham,2006,47,Legal,47,PH,Mayapusi
Christmas Carol: The Movie,Ernestus Estevez,2006,45,Business Development,46,RU,Smolino
Amateur,Nicole McGriele,2006,11,Engineering,78,CN,Kangmei
"That Day, on the Beach (Hai tan de yi tian)",Madeleine Cornes,2006,61,Training,43,NI,San Rafael del Sur
"Wilby Conspiracy, The",Miranda Americi,2001,86,Accounting,85,BR,Francisco Morato
Another You,Dame Cuddehay,2008,13,Accounting,51,PL,Chodzież
"Testament of Orpheus, The (Testament d'Orphée)",Duane Parr,2005,49,Services,71,RU,Turka
My Sons (Musuko),Price Guirardin,1995,83,Product Management,74,VN,Thanh Xuân
Justice League: The Flashpoint Paradox,Matty Mainz,1998,55,Marketing,69,ID,Boro
George Carlin: It's Bad for Ya!,Gerri Jerrolt,1986,29,Services,32,CN,Meixi
3 Women (Three Women),Callida Abramovicz,1992,62,Services,1,CN,Buliu
Dogtown and Z-Boyz,Padgett Kilfether,2006,79,Human Resources,47,AL,Sevaster
Tin Man,Leonore Mucklow,2006,56,Product Management,89,PH,Sillon
Dr. Gillespie's New Assistant,Harwilll Dahlborg,2012,9,Human Resources,99,PH,Tanza
Lady in Cement,Faun Bisseker,1994,80,Sales,67,ID,Tuamese
"Marriage Circle, The",Hymie Divers,2009,56,Support,73,US,Indianapolis
Miracle at Oxford (True Blue),Sharlene Wingrove,2007,98,Engineering,82,US,Dallas
Cold Fish (Tsumetai nettaigyo),Trixie Becken,1991,18,Training,62,FR,Ajaccio
Rapa Nui,Fritz Gerkens,1992,39,Training,83,RU,Verkhnyaya Khava
7 Dwarves: The Forest Is Not Enough,Kristy Tregiddo,2001,86,Research and Development,62,BR,Herval
Tipping the Velvet,Von Vasiltsov,1995,66,Support,9,US,New York City
Assault of the Sasquatch (Sasquatch Assault),Bride De Gouy,2006,21,Accounting,23,PL,Błonie
Croupier,Ulises Seear,2010,78,Human Resources,24,BR,Jaru
"Fragile Trust: Plagiarism, Power, and Jayson Blair at the New York Times, A",Netti Cannicott,1999,52,Training,67,RU,Tomsk
Borderline,Virgilio Delgadillo,1993,86,Sales,87,CN,Jiancheng
Great!,Moe Cowhig,1983,43,Sales,39,SA,Najrān
Casualties of War,Victoir Swabey,1997,27,Human Resources,18,CN,Nianba
"Trip, The",Lucas Assiratti,2001,6,Support,61,BR,Itarana
Hello Down There,Carena Mulmuray,1990,82,Services,67,CN,Pingxiang
Anna and the King,Elianore Clemencet,2008,99,Marketing,42,PH,Castañas
Tortilla Flat,Georgina Sogg,1984,3,Accounting,75,ID,Madette
Ghost in the Shell Arise - Border 1: Ghost Pain,Candida Bateman,2006,89,Training,36,RU,Ust’-Koksa
"Trial of Billy Jack, The",Myrlene Leeming,1989,64,Accounting,83,RU,Novosil’
Hatchet,Caterina Yelding,1997,53,Services,39,SB,Auki
My Sons (Musuko),Tommi Grevel,2006,33,Training,61,MG,Ihosy
Music in the Air,Filia Peeke-Vout,2007,3,Services,89,CN,Haoba
Zombies of Mora Tau,Brodie Goulden,2011,20,Engineering,66,AU,Sydney
Matinée,Fidole Juan,2005,37,Accounting,21,PL,Głuchów
Vlad Tepes (Vlad &#354;epe&#351;),Robbi Dunbar,2010,48,Human Resources,38,BO,Villazón
SherryBaby,Fan Lessmare,2002,73,Legal,49,FI,Loimaan Kunta
"Mouse That Roared, The",Gilbertine Raison,2000,62,Sales,47,PT,Barqueiro
Assassination of a High School President,Barnaby Breinl,2000,43,Research and Development,24,BR,Bauru
Exit,Katleen Matveiko,1991,1,Research and Development,30,LT,Žiežmariai
The Casino Murder Case,Theodora Synder,2009,26,Accounting,63,CN,Zhujiachang
Learning to Ride,Hettie Pywell,1992,80,Sales,40,CN,Dongchen
Deep Cover,Caleb Jatczak,2013,82,Marketing,25,VN,Hai Riêng
"Nugget, The",Jedediah Ferfulle,1991,64,Marketing,11,PS,Banī Zayd
Rising Sun,Melisse Fynn,2002,38,Support,14,MY,Ipoh
Keith,Krishnah Mattityahou,2009,26,Engineering,37,CN,Longcang
Center Stage,Marney Alcide,1993,56,Training,74,PT,Camacha
Inn of Evil (Inochi bô ni furô),Virgil Capeling,2003,20,Legal,81,AM,Dalarik
Just Like a Woman,Lewiss Boundy,1993,83,Business Development,20,PH,Little Baguio
"Big City, The (Mahanagar)",Angelia Kebbell,2005,67,Accounting,50,NE,Tillabéri
Beauty and the Boss,Noe Gowman,1967,55,Product Management,33,CN,Hake
"I Love, You Love (Ja milujem, ty milujes)",Geralda Geertz,2008,97,Product Management,40,ID,Suwaduk
To Die For,Farand Brolechan,2001,74,Product Management,37,ID,Cisaro
"Misadventures of Margaret, The",Brandie Swinley,2003,22,Research and Development,74,CN,Lucheng
"Cave, The",Sean Perot,1998,14,Accounting,53,PS,Sinjil
Things You Can Tell Just by Looking at Her,Heath Trazzi,2004,69,Business Development,57,AR,Patquía
Torn,Augusta Shreeve,2010,16,Services,28,CN,Danyang
Red Lights,Zoe Hamblen,1961,16,Product Management,24,ID,Kebon
Bubble,Ida Breazeall,1996,98,Product Management,19,BR,Jatobá
Sweeney Todd: The Demon Barber of Fleet Street,Gertruda Devlin,2006,62,Legal,25,SA,Ţubarjal
"Freshman, The",Tyrus Reddel,1989,67,Sales,26,RU,Mamonovo
Looking for Lenny ,Tabatha Ferrotti,2006,21,Sales,69,DO,Fantino
"Belly of an Architect, The",Rania Ortell,1964,68,Business Development,52,PH,Cagdianao
Wake Wood ,Clint McIlheran,2010,70,Marketing,92,RU,Ol’ginskaya
Brokeback Mountain,Roxi Vanderplas,2010,42,Research and Development,2,ID,Sukorejo
Document of the Dead,Ursuline McSkin,2005,70,Product Management,92,CN,Liebu
Yankee Zulu,Genny Merigon,1993,64,Support,63,TH,Dan Makham Tia
Star Wars: Episode IV - A New Hope,Lavinia Toretta,2006,88,Services,62,ID,Labuhansumbawa
Red Salute,Retha Radclyffe,1961,30,Accounting,57,CN,Nanyuan
Saturn 3,Uta Heino,1998,80,Sales,48,CO,Acacías
Islander,Dorothee Hendricks,2012,17,Legal,35,PH,Libertad
Axed,Ivory Carvilla,1987,54,Accounting,72,CN,Xinli
"Full Monty, The",Mitzi Milch,2002,43,Training,20,ID,Babakan
"Bride with White Hair, The (Bai fa mo nu zhuan)",Shelli Hutton,1993,87,Business Development,57,CN,Tuanfeng
Freeway,Hayward Salan,1996,35,Sales,92,CN,Shuanghekou
Stockholm East (Stockholm Östra),Ara O'Glassane,2007,75,Marketing,56,PS,Shūkat aş Şūfī
"Prophet, the Gold and the Transylvanians, The (Profetul, aurul si Ardelenii)",Cori Drewe,2006,48,Product Management,43,RU,Velikiye Luki
"Pride of the Yankees, The",Foss Gentreau,1988,28,Support,93,ID,Kotingnatagete
"Shanghai Gesture, The",Saunders Thowes,1993,2,Accounting,59,CN,Hongsipu
Ernest Saves Christmas,Daffi Slyford,2000,45,Sales,49,KZ,Burunday
So Dear to My Heart,Deerdre Ferry,2007,65,Business Development,45,CN,Tiannan
"Bakeneko: A Vengeful Spirit (Kaibyô nori no numa) (Ghost-Cat Cursed Pond, The)",Brockie Capstick,2004,67,Human Resources,87,RU,Bokhan
Persuasion,Zondra Pounds,2008,66,Engineering,12,XK,Junik
"Canterbury Tales, The (I racconti di Canterbury)",Alexia Florio,1993,80,Services,72,JP,Kogota
Saw III,Koralle Merry,2005,35,Business Development,18,IE,Trá Mhór
Animal Room,Briana Gregg,1991,9,Accounting,23,IR,Aleshtar
Shadows (Senki),Vonny Blore,1994,11,Services,20,CN,Lipu
"Night of the Shooting Stars (Notte di San Lorenzo, La)",Janenna Lawrinson,2011,91,Legal,56,FR,Cergy-Pontoise
Milka - A Film About Taboos (Milka - elokuva tabuista),Abbie Udall,2010,27,Human Resources,81,KG,Jalal-Abad
Thunder Rock,Biddie Shawl,2006,67,Research and Development,16,CU,Regla
200 M.P.H.,Dosi St. Queintain,1990,82,Sales,46,CN,Lujing Zhen
Beats Rhymes & Life: The Travels of a Tribe Called Quest,Hildegaard Moyer,2011,40,Accounting,30,CN,Da’an
Live Free or Die Hard,Rosene Vannoort,2007,70,Engineering,77,NE,Dosso
BFFs,Harp Lesurf,1999,40,Services,5,AT,St. Anton an der Jeßnitz
"Broadway Melody, The",Emily Koene,2007,60,Training,95,RU,Ust’ye
West Is West,Zea Jeannesson,2009,61,Marketing,22,ID,Binafun
The Walking Hills,Jenda Barrick,1988,24,Product Management,69,CL,Nacimiento
"Personals, The (Zheng hun qi shi)",Philbert Astlet,1967,27,Services,5,SE,Nacka
Act of Violence,Tiphany Totman,2005,28,Marketing,36,CO,Jenesano
Susannah of the Mounties,Cordelie Grote,2008,43,Marketing,70,MN,Avdzaga
Free Fall,Giulietta Snoday,1989,52,Training,72,PW,Koror
Dirty Filthy Love,Darsey Doige,1997,82,Marketing,48,CN,Anren Chengguanzhen
"Mating of Millie, The",Maisey Davall,1985,52,Human Resources,97,CN,Nagqu
"End of Poverty, The",Vincenty O' Shea,1995,81,Support,3,CN,Meixi
Jim Jefferies: BARE,Ginnie Itshak,2012,6,Research and Development,39,PH,Union
Vengeance: The Story of Tony Cimo,Jan Goering,2005,100,Human Resources,63,ZA,Roodepoort
Lady Killer,Christoper Jewer,1991,50,Accounting,13,AR,Avellaneda
Bloody Angels (1732 Høtten: Marerittet har et postnummer),Nealson Doag,2005,29,Marketing,25,FR,Roissy Charles-de-Gaulle
Gun Shy,Kimbell Siss,2007,99,Accounting,29,RU,Perepravnaya
Death of a President,Clementius Cutbirth,2010,85,Accounting,54,RU,Nizhnedevitsk
Call Northside 777,Shara Cheverell,1992,35,Training,15,CN,Qiaozhen
Virtual Sexuality,June Alford,1995,55,Research and Development,98,TH,Krasae Sin
Meet Joe Black,Carissa Musk,1992,46,Services,47,CZ,Všetaty
"Adventure of Sherlock Holmes' Smarter Brother, The",Abigale Ivashchenko,1999,91,Marketing,72,US,Columbus
Go Get Some Rosemary (Daddy Longlegs),Gretel Kyneton,2003,18,Human Resources,17,PH,Caramay
Case 39,Redford Shrawley,2001,91,Legal,65,TJ,Palos
"Hunchback of Notre Dame, The",Janka Gilbert,2007,38,Product Management,76,GB,Thorpe
Someone Marry Barry,Samara Baddow,1986,63,Marketing,90,PK,Rustam jo Goth
War of the Dead - Stone's War ,Nadya Huckerby,1986,3,Services,1,PH,Begang
009 Re: Cyborg,Abramo McVittie,1999,76,Accounting,84,CO,San Diego
Unspeakable Acts ,Dawn Mouse,2004,60,Business Development,68,ID,Pledo
The Hatchet Man,Alix Autry,1998,61,Research and Development,74,CN,Cikai
Target,Latrina Mayhead,2004,96,Research and Development,1,DE,Osnabrück
Métisse (Café au Lait),Rudolf McCreagh,1998,43,Accounting,60,ID,Panoongan
Bigga Than Ben,Dimitri Greenhaugh,1998,80,Business Development,42,CN,Baojia
Divine Madness!,Darlleen Adel,2002,89,Marketing,14,MN,Tahilt
Hurry Sundown,Tadeo Woloschin,1986,33,Training,57,PH,Calingcuan
"City of Your Final Destination, The",Teodor Cluely,1992,43,Legal,26,CN,Laifang
"Map For Saturday, A",Chuck Ciciari,1995,43,Support,100,ID,Curug
Dragon Ball Z the Movie: The Tree of Might (Doragon bôru Z 3: Chikyû marugoto chô kessen),Rose Polet,2004,94,Marketing,12,CA,Coaldale
"Liar's Autobiography: The Untrue Story of Monty Python's Graham Chapman, A",Umberto Brusin,2008,84,Marketing,29,SY,Sa‘sa‘
"Interview, The",Ursuline Blandford,2009,32,Engineering,69,PL,Krzepice
Arcade,Elspeth Hysom,2012,57,Support,69,CN,Hongchuan
Inseparable,Mil Mortell,2000,9,Engineering,6,PT,Areeiro
The Invitation,Delbert Brecher,2001,18,Business Development,40,SE,Bandhagen
Entertaining Angels: The Dorothy Day Story,Reginauld Gobat,1989,89,Business Development,28,NO,Skien
9th Company,Jacintha Dougary,2002,16,Accounting,57,RU,Novo-Peredelkino
"Yards, The",Abigail Newbury,1996,48,Support,14,GR,Evxinoúpolis
Art and Craft,Dalston Symondson,2007,6,Marketing,80,ID,Citarik
French Film,Min Coppeard,1998,46,Engineering,13,PL,Sobienie Jeziory
Petals on the Wind,Derrek McIlherran,2002,51,Legal,52,AL,Pukë
Freaks,Florry Glader,2005,90,Legal,35,ID,Randu
Omega Doom,Daffie Lickorish,2004,63,Research and Development,74,RU,Baryshevo
Star Trek V: The Final Frontier,Bev Shaw,1999,75,Accounting,67,CU,Ranchuelo
Rapture-Palooza,Symon Lavall,1996,68,Marketing,72,CA,Pickering
Confetti,Laurence Popham,1990,54,Sales,34,YE,Ad Dimnah
Women Art Revolution,Odetta Testin,2009,83,Marketing,86,CN,Wentai
Fuck,Clayton Wolford,2008,47,Engineering,91,CN,Acheng
Taxi for Tobruk,Mose Richie,1984,38,Services,60,CN,Shangqiu
"Sunset Limited, The",Otis Caulkett,2010,9,Engineering,51,PL,Lidzbark
Arbitrage,Brucie O' Quirk,1977,5,Training,45,CN,Nanzhao
"Curse of the Werewolf, The",Dayna Christmas,2008,67,Training,30,CN,Jiefang
See No Evil,Kiah Iacobucci,2012,37,Support,80,US,Milwaukee
"Five Pennies, The",Adi Everwin,2012,34,Human Resources,100,TH,Song
Rush Hour,Anet Alliband,2007,98,Training,98,HR,Laslovo
All About Steve,Charmian Lindop,2010,3,Research and Development,19,ID,Gresik
Children of the Corn IV: The Gathering,Sonny Hebbes,2001,13,Training,56,CN,Dongshan
"Children of Huang Shi, The",Susanna Bletso,1993,80,Engineering,14,LA,Xam Nua
Billy Elliot,Aileen Powe,1999,86,Research and Development,84,CN,Licheng
"Cercle Rouge, Le (Red Circle, The)",Rosemarie Congreave,2003,35,Accounting,37,FR,Sallanches
Mean Machine,Junette Slora,2012,45,Legal,47,FR,Arles
Overnight Delivery,Tallou Hoff,2010,42,Services,25,RU,Murmino
Romance on the High Seas,Osbert Snaddin,2011,25,Research and Development,39,PH,Kauswagan
Suzy,Abigail Stollhofer,1993,30,Services,80,ID,Purwa
Mystic River,Taylor Doick,2008,35,Support,90,BR,Juazeiro do Norte
Making Love,Art Benini,2010,98,Product Management,73,PH,Bayawan
Powder,Thia Heart,2007,43,Engineering,44,CN,Nianyushan
"Promotion, The",Lusa McKeachie,2009,44,Training,2,BR,Novo Hamburgo
Passionada,Claiborn Boyce,1996,43,Engineering,24,FR,Paris 14
Vision (Vision - Aus dem Leben der Hildegard von Bingen),Dasi Cockren,2012,2,Engineering,90,CN,Xinfengjie
"Legend of Bigfoot, The",Marabel Diegan,1997,24,Services,80,RU,Karata
Marriage Material,Eunice Anglish,2010,54,Business Development,58,TJ,Kolkhozobod
"Love Nest, The",Roanne Rosellini,2006,55,Services,74,NI,Masachapa
Barefoot Gen 2 (Hadashi no Gen II),Wallis Joutapavicius,1994,48,Human Resources,90,BY,Svislach
You're a Big Boy Now,Kylila Alesi,2004,66,Accounting,43,CN,Dingtao
Demon Wind,Perl Speir,2008,97,Business Development,84,SI,Velenje
Seal Team Eight: Behind Enemy Lines,Berry Foulcher,2001,87,Legal,99,BY,Byerazino
Out of Life (Hors la vie),Vasily Toma,2012,85,Business Development,79,PE,Bellavista
"Unknown Soldier, The (Tuntematon sotilas)",Gennifer Ince,1992,9,Business Development,2,SE,Perstorp
Dumb & Dumber (Dumb and Dumber),Craig Domenicone,1996,61,Legal,54,KZ,Tobol
"Misérables, Les",Lorianne Dunn,1990,50,Human Resources,69,PE,Copa
Street of Shame (Akasen chitai),Vin Commander,1997,72,Legal,93,CN,Tongda
"Man in the Iron Mask, The",Logan Guerola,1999,20,Support,49,UA,Mukacheve
Captain Phillips,Agnes Comrie,1995,43,Accounting,79,RU,Lomintsevskiy
Clubbed,Loretta Alben,2012,12,Training,49,PH,Alilem
That Obscure Object of Desire (Cet obscur objet du désir),Mendy Bountiff,2001,72,Accounting,27,FR,Nanterre
The Appointments of Dennis Jennings,Ritchie Attwoul,1993,23,Business Development,72,ID,Hadakewa
American Ninja 2: The Confrontation,Wyndham Mapledoore,1999,62,Engineering,52,US,Hampton
Tabu,Johnath Hebbron,2010,62,Research and Development,67,RS,Despotovac
Brothers,Joscelin Poluzzi,2012,25,Marketing,34,ID,Bulahblangaro
Act Da Fool,Hiram Jarrel,1987,49,Legal,47,CN,Lusigang
Katt Williams: Priceless: Afterlife,Zebulen Weagener,2011,24,Accounting,83,ID,Laiponda
Two-Way Stretch,Ingar Sciacovelli,1969,36,Accounting,53,RU,Priyutovo
"Ward, The",Michal Ivanyushkin,1986,94,Engineering,49,CN,Jizhou
"Lord of the Rings: The Two Towers, The",Jeno Macconachy,1998,90,Business Development,28,US,Albuquerque
"Lord of the Rings: The Two Towers, The",Betsy Kimmons,2006,55,Human Resources,97,CN,Aozai
April Story,Aluino Howett,1996,17,Human Resources,89,CN,Zhongcheng
"Battle of Britain, The (Why We Fight, 4)",Bruce Presidey,1992,67,Sales,41,NL,Hoorn
"Actress, the Dollars and the Transylvanians, The (Artista, dolarii si Ardelenii)",Abel Rippon,2009,34,Product Management,7,HT,Thomassique
Operation Daybreak,Emmaline Curm,2005,34,Sales,65,TO,Neiafu
Homevideo,Betti Grishukov,1985,38,Accounting,56,LV,Aizkraukle
"Crowd, The",Lucienne Girardengo,2008,48,Accounting,42,US,Grand Rapids
"Brasher Doubloon, The",Meredith Durbyn,2007,54,Legal,92,PT,Vila Boa do Bispo
"Summer Hours (Heure d'été, L')",Tamera Hosby,1990,44,Human Resources,50,CN,Jiangkou
Hen Hop,Brenda Manilow,1993,41,Services,70,ID,Kebonkaret
Bhowani Junction,Stacy Foley,2011,37,Legal,18,DE,Hamburg
"Sunchaser, The",Westley Dyneley,1996,88,Human Resources,59,CA,Boucherville
Candy,Emlen Ferris,2001,75,Marketing,35,GR,Tsákoi
Admission,Carlyle Wornum,1993,44,Legal,42,SE,Västerås
Crime at the Chinese Restaurant,Lynn Olpin,1992,96,Marketing,39,AU,Launceston
"Night in Heaven, A",Bernard Spat,1989,91,Accounting,61,ID,Ciampea
"Watcher, The",Nissa Colpus,1997,76,Support,5,ID,Kedungwringin Satu
Talking About Sex,Farr Gillam,2006,57,Research and Development,59,UA,Hupalivka
Blood Runs Cold,Geri Brevitt,2008,13,Product Management,1,FR,Levallois-Perret
Black or White,Aguste Guillon,2007,22,Accounting,70,PH,Maibu
Ethel,Sonya Aujouanet,1972,26,Accounting,13,CN,Jicun
Mourning Becomes Electra,Kristine Karlicek,1993,54,Services,31,KH,Ban Lŭng
This Is 40,Selestina Hauxwell,1984,58,Business Development,42,EC,Montecristi
Kamome Diner,Querida Baszkiewicz,2012,93,Sales,9,PH,Klinan
Waterloo Bridge,Catriona Braidon,2012,63,Marketing,84,ID,Kotawaikabubak
Soldier Blue,Roi Sitch,1974,42,Sales,49,CN,Huangmao
"Overcoat, The (Il cappotto)",Rock Berney,2004,75,Business Development,36,NE,Tanout
alaskaLand,Murdock Yewman,1984,28,Marketing,89,TH,Lamduan
Peg o' My Heart,Ryley Hagart,2009,14,Marketing,47,CN,Lingbei
I Always Wanted to Be a Gangster (J'ai toujours rêvé d'être un gangster),Reggi Spicer,2006,75,Business Development,40,RU,Romanovo
Mimic 2,Jennie McIndrew,1966,3,Product Management,6,BR,Rolante
"Goodbye Girl, The",Napoleon Divina,2003,36,Sales,11,PT,Espinho
Operation Dumbo Drop,Adair Bemrose,2006,75,Research and Development,6,CN,Daji
Babylon 5: A Call to Arms,Eirena Jefferies,1993,27,Sales,28,KR,Gongju
Wee Willie Winkie,Pren Hulcoop,2010,59,Services,66,ID,Oebaki
Pixote,Adella Stanesby,2000,100,Business Development,20,VN,Nam Sách
Freeway,Kissie Alger,1996,2,Sales,81,PH,San Sebastian
Born into Brothels,Danielle Audley,2001,71,Business Development,69,US,Boston
